video_id,umap_0,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10,umap_11,umap_12,umap_13,umap_14,umap_15,umap_16,umap_17,umap_18,umap_19
6739804771013774597,-6.084421,20.122593,7.982757,6.0847855,33.22852,4.4680285,1.7246832,22.193115,17.211412,5.0234118,5.9577317,3.6539092,-3.7347414,24.603214,11.345433,5.036112,-19.944675,0.6890456,9.7345705,-11.162773
6750983141873224966,-5.805964,19.690348,8.797626,5.855042,32.83892,5.282839,2.5277114,21.714165,17.558044,5.987131,6.610598,3.0351143,-3.158194,25.437965,12.472638,5.600724,-20.628134,1.0526401,10.674164,-10.748776
6792131260543225094,-5.911896,20.314888,8.470135,6.0986166,32.93151,4.5014544,2.7158668,22.052572,17.716614,5.5157986,6.7232447,2.9859502,-3.1868896,25.195772,12.152886,5.408679,-20.873472,0.82625103,10.3999405,-10.698255
6792133610360065285,-6.0176244,20.46142,8.181293,6.1799083,33.103992,4.291398,2.6485531,22.248041,17.600336,5.349396,6.4260106,3.1607456,-3.2864635,24.969286,11.861465,5.281923,-20.881046,0.83187103,9.996421,-10.697277
6793347939294072069,-5.890634,20.1665,8.434225,6.083436,32.90487,4.4093366,2.549743,22.167927,17.458435,5.67407,6.424401,3.1377127,-3.2658527,25.17424,11.96083,5.450849,-20.70318,0.79762024,10.304811,-10.655922
6793765694619143430,-6.216244,20.671818,7.9748487,6.2004986,33.34766,4.536156,2.271247,22.171675,17.74579,4.5585732,6.3826003,3.3174803,-3.5517855,24.504942,11.654916,4.9500227,-20.614143,1.0075808,9.647585,-11.026232
6794470373212589317,-6.307878,20.58382,8.221146,6.191565,33.35137,4.580865,2.3887887,22.319117,17.762943,4.502766,6.1832623,3.208265,-3.5017374,24.566113,11.692877,5.0719833,-20.471806,1.1042486,9.633717,-11.0715475
6795606002222796037,-5.8999953,20.16695,8.3848,6.0669246,32.934696,4.489503,2.5292559,22.09162,17.491161,5.6416225,6.4877176,3.1374435,-3.262524,25.169693,12.003803,5.3928814,-20.693771,0.79397607,10.296113,-10.714555
6796363351816555782,-5.924937,19.91746,8.599562,6.010851,32.986744,4.716996,2.479352,22.091116,17.520895,5.709871,6.328962,3.203601,-3.2873762,25.182947,12.033443,5.5563984,-20.588064,0.80381906,10.3476925,-10.773189
6796364077095472389,-5.8788757,20.065226,8.595397,6.003934,32.847935,4.7324553,2.624932,22.016384,17.507671,5.740885,6.5197725,3.002222,-3.1849394,25.296886,12.210901,5.4848485,-20.698084,0.98563355,10.432379,-10.655477
6798641094109269253,-6.0876017,20.487404,8.393483,6.2105327,33.06245,4.155366,2.6614172,22.42405,17.64389,5.1448817,6.315669,3.0857787,-3.3093483,24.943808,11.779913,5.3586392,-20.717209,0.8346911,10.028753,-10.756149
6798648871401819398,-6.0736947,20.447437,8.519265,6.1265364,33.047737,4.568566,2.8197687,22.13261,17.86068,5.15883,6.6537013,2.883946,-3.1769738,25.095823,12.172953,5.3394203,-20.811941,0.98056364,10.228593,-10.829477
6802558843114114310,-6.116525,20.8039,8.140206,6.2283354,33.201263,4.4816575,2.4509077,22.109562,17.937418,4.5921,6.7227287,3.1579378,-3.4756284,24.58639,11.819919,5.0508943,-20.920607,1.016008,9.937354,-10.852644
6814175723704683782,-5.9629555,20.066525,8.520993,5.8631396,33.027725,5.7719107,2.1974342,21.481394,17.700827,5.1318297,6.7351394,3.0719788,-3.4183419,24.915787,12.440848,5.133254,-20.57572,1.5601301,10.290657,-10.868296
6821547365887905030,-5.893263,20.075378,8.683837,5.984232,32.879627,4.9278107,2.6976516,21.903353,17.688763,5.6551285,6.6848235,2.9284353,-3.1492095,25.304558,12.3686075,5.499095,-20.791903,1.0441376,10.518445,-10.694031
6825975879940820230,-5.8454375,20.07309,7.6686993,5.9807806,33.25544,5.075573,1.2888585,21.523588,17.351992,5.0681844,6.5847087,3.9040575,-3.9244134,24.405293,11.518751,4.7734184,-20.269588,0.66947126,9.952405,-11.111283
6834056379355991301,-5.823398,20.570942,7.8355203,6.127142,33.26443,5.121588,1.7328827,21.499403,17.88232,4.728429,7.076346,3.6498742,-3.858197,24.241146,11.757794,4.8526554,-21.07418,0.97456425,10.079021,-10.732276
6834420537545084166,-5.838091,20.529007,8.103412,6.144731,33.135456,4.930869,1.9863024,21.72688,17.823177,4.8912134,6.923208,3.463167,-3.7223616,24.440218,11.8059225,5.050986,-21.054686,1.0064797,10.175238,-10.6189165
6847902541095668997,-6.033687,20.833403,7.962684,6.1820083,33.27746,4.8707385,2.269849,21.744513,18.0741,4.509185,7.052764,3.2674267,-3.570571,24.444439,11.951676,4.898255,-21.098997,1.1018262,9.988826,-10.8592
6852640471013920006,-6.0472417,19.972103,8.97367,5.9237947,33.194096,5.7220335,2.482077,21.599796,18.273325,4.9739547,6.8914223,3.041144,-3.3539095,24.92378,12.520441,5.511902,-20.798367,1.1987125,10.564845,-11.0202875
6855731886438763781,-5.76953,20.24987,7.720665,6.005448,33.23169,5.246986,1.2502464,21.321938,17.653671,4.8375916,6.9997287,3.8914404,-4.0015454,24.244884,11.617512,4.7544947,-20.60484,0.7305167,10.152003,-11.009517
