,video_id,att_mean_saliency,att_max_saliency,att_min_saliency,att_skewness,att_kurtosis,att_hook_score,att_outro_score,att_peak_location,att_high_attention_ratio,att_attention_instability
0,VIDEO_7602656035161050390,22.857784271240234,26.366695404052734,20.105236053466797,0.1238836795091629,-0.33035731315612793,24.367124557495117,22.502944946289062,0.14285714285714285,1.0,1.0146688222885132
1,VIDEO_7590718903144287510,18.02370834350586,20.54388427734375,15.062448501586914,-0.22136525809764862,-0.7628598213195801,18.653322219848633,20.1091365814209,0.9629629629629629,1.0,1.1093246936798096
2,VIDEO_7571821778746592534,16.91676902770996,19.434734344482422,12.808052062988281,-0.8955609202384949,-0.09592270851135254,12.87756633758545,16.23154640197754,0.7857142857142857,0.8571428571428571,0.7263050675392151
3,VIDEO_7569927329154190614,20.543476104736328,22.149171829223633,18.173629760742188,-0.8532181978225708,-0.3353281021118164,20.707412719726562,19.44841957092285,0.0,1.0,0.9837365746498108
4,VIDEO_7566270741134462230,17.05019187927246,19.87961769104004,12.307085037231445,-0.700854480266571,-0.5789201259613037,17.201696395874023,18.656585693359375,0.8333333333333334,0.8333333333333334,1.2378828525543213
5,VIDEO_7536170254989315350,17.32187271118164,20.0627384185791,14.50926685333252,0.10405344516038895,-0.05772233009338379,16.328506469726562,18.73539161682129,0.24,1.0,0.6382431983947754
6,VIDEO_7520640970199698710,16.580793380737305,19.621137619018555,13.96524429321289,-0.31383171677589417,-1.3491002321243286,13.982505798339844,16.596891403198242,0.6956521739130435,1.0,0.6032589077949524
7,VIDEO_7496799936558796054,16.66468620300293,22.66153335571289,12.841455459594727,0.4176310896873474,-0.28375935554504395,16.581003189086914,17.066987991333008,0.7,0.9333333333333333,1.3471357822418213
8,VIDEO_7487960173529582870,18.66111183166504,22.823944091796875,16.211383819580078,0.7732938528060913,0.4172232151031494,17.717275619506836,19.81703758239746,0.8235294117647058,1.0,1.9822466373443604
9,VIDEO_7478712216724802838,17.1231632232666,23.50490379333496,13.949638366699219,1.2254998683929443,1.246891975402832,16.66126823425293,23.108413696289062,0.9333333333333333,1.0,1.3435957431793213
10,VIDEO_7470850262840691990,11.841418266296387,16.239940643310547,9.098770141601562,0.6268903613090515,-0.7587137222290039,15.721295356750488,9.217171669006348,0.05263157894736842,0.21052631578947367,0.4776087999343872
11,VIDEO_7424512450856357153,17.373939514160156,20.90850830078125,11.048795700073242,-0.5558868050575256,-1.408355474472046,20.102155685424805,13.28164291381836,0.7647058823529411,0.8823529411764706,1.8851178884506226
12,VIDEO_7416286728513735968,18.941631317138672,21.725000381469727,16.57633399963379,0.31270766258239746,-1.592536449432373,17.597551345825195,21.29277801513672,0.9285714285714286,1.0,0.6220421195030212
13,VIDEO_7374727208394411297,16.12214469909668,18.03485679626465,14.210777282714844,0.011302120052278042,-1.0821012258529663,15.370951652526855,16.63468360900879,0.6842105263157895,1.0,0.6455152034759521
14,VIDEO_7361057454454508833,19.550800323486328,20.892915725708008,17.686317443847656,-0.22735051810741425,-0.8682866096496582,19.334714889526367,20.209012985229492,0.5454545454545454,1.0,0.5625618696212769
15,VIDEO_7343975400122354977,19.47592544555664,19.883779525756836,19.21416473388672,0.46301889419555664,-0.9150259494781494,19.33866310119629,19.284469604492188,0.2857142857142857,1.0,0.1165708526968956
16,VIDEO_7322847358646078752,18.027719497680664,22.204872131347656,15.740558624267578,1.6149312257766724,1.75974702835083,17.412336349487305,17.212383270263672,0.25,1.0,1.1147509813308716
17,VIDEO_7311689753676533024,19.9898681640625,21.143522262573242,18.24004554748535,-0.37501758337020874,-0.8537988662719727,20.28104019165039,19.58372688293457,0.3333333333333333,1.0,0.8133492469787598
