id;album;artist;artists;aspect_ratio;channel;description;video_duration;format;release_year;track;uploader;filepath;download_timing;uploader_short;vid;uid
7602656035161050390;;Urhov Bogdan;['Urhov Bogdan'];0.56;Davos Klosters;you dream you 🥹 #davosklosters #skiing #mountains #swiss #davos ;13;1080x1920;2026;оригинальный звук;davosklosters;downloads/USER_davosklosters/VIDEO_7602656035161050390.mp4;2026-02-12 09:29:25;davos;VIDEO_7602656035161050390;USER_davosklosters
7590718903144287510;;LykTraffx;['LykTraffx'];0.56;Davos Klosters;already missing this again 🥹 #spenglercup #davos #hockey #hcd #core ;12;1080x1920;2026;оригинальный звук;davosklosters;downloads/USER_davosklosters/VIDEO_7590718903144287510.mp4;2026-02-12 09:29:25;davos;VIDEO_7590718903144287510;USER_davosklosters
7571821778746592534;;ALTÉGO;['ALTÉGO'];0.56;Davos Klosters;how??!!!🥹🥹 #davosklosters #skiing #ski #seasonopening #davos ;13;1080x1920;2025;THE FATE OF OPHELIA X MIDNIGHT CITY;davosklosters;downloads/USER_davosklosters/VIDEO_7571821778746592534.mp4;2026-02-12 09:29:25;davos;VIDEO_7571821778746592534;USER_davosklosters
7569927329154190614;;Raye;['Raye'];0.56;Davos Klosters;We're back on snow!🥹🎿 #davosklosters #seasonopening #skiing #davos ;7;1080x1920;2025;original sound;davosklosters;downloads/USER_davosklosters/VIDEO_7569927329154190614.mp4;2026-02-12 09:29:25;davos;VIDEO_7569927329154190614;USER_davosklosters
7566270741134462230;;músicas e traduções;['músicas e traduções'];0.56;Davos Klosters;Somebody send help, pls. 🥶 #davos #firstsnow #interval #run #snow ;8;1080x1920;2025;som original;davosklosters;downloads/USER_davosklosters/VIDEO_7566270741134462230.mp4;2026-02-12 09:29:25;davos;VIDEO_7566270741134462230;USER_davosklosters
7536170254989315350;;Michael Buckley;['Michael Buckley'];0.56;Davos Klosters;bald bald 🥹🫰🏽🎿 #davosklosters #sportsunlimited #ski #skiseasonn #davos #winter;12;1080x1920;2025;This is your sign to fly;davosklosters;downloads/USER_davosklosters/VIDEO_7536170254989315350.mp4;2026-02-12 09:29:25;davos;VIDEO_7536170254989315350;USER_davosklosters
7520640970199698710;;E🩶;['E🩶'];0.56;Davos Klosters;Holy fckn airball 😎✌🏽  #davosklosters #holyfcknairball #trend #fyp #hiking #mountains ;10;576x1024;2025;ECE Marketing Airball;davosklosters;downloads/USER_davosklosters/VIDEO_7520640970199698710.mp4;2026-02-12 09:29:25;davos;VIDEO_7520640970199698710;USER_davosklosters
7496799936558796054;;user43952297847;['user43952297847'];0.56;Davos Klosters;Saisonende? Was?!🥹 #davosklosters #seasonend #skiing #winter #springskiing ;14;1080x1920;2025;Never Let Me Go;davosklosters;downloads/USER_davosklosters/VIDEO_7496799936558796054.mp4;2026-02-12 09:29:25;davos;VIDEO_7496799936558796054;USER_davosklosters
7487960173529582870;;ZOMBIE;['ZOMBIE'];0.56;Davos Klosters;Willkommen zurück im Winter!🥹🎿 Wer hat auch noch nicht genug?🫶🏽 #davosklosters #snow #winter #freshsnow #wintervssummer ;8;1080x1920;2025;headlock x jinx from arcane;davosklosters;downloads/USER_davosklosters/VIDEO_7487960173529582870.mp4;2026-02-12 09:29:25;davos;VIDEO_7487960173529582870;USER_davosklosters
7478712216724802838;;Stan :);['Stan :)'];0.56;Davos Klosters;März, wir lieben dich!🥹🫶🏽 #davosklosters #skiing #thisfeeling #ski #davos #swiss #mountains ;14;1080x1920;2025;original sound;davosklosters;downloads/USER_davosklosters/VIDEO_7478712216724802838.mp4;2026-02-12 09:29:25;davos;VIDEO_7478712216724802838;USER_davosklosters
7470850262840691990;;Julian Witting;['Julian Witting'];0.56;Davos Klosters;Nichts Besseres, oder?🥹🎿 #davosklosters #skiing #whatskiingfeelslike #davos #winter #fyp #TikTokTrends #skitok ;8;1080x1920;2025;Originalton;davosklosters;downloads/USER_davosklosters/VIDEO_7470850262840691990.mp4;2026-02-12 09:29:25;davos;VIDEO_7470850262840691990;USER_davosklosters
7424512450856357153;;<3;['<3'];0.56;Davos Klosters;bald geht's los 🥹🎿 #davosklosters #skitok #graubünden #winter #snow #swiss #davos ;8;1080x1920;2024;original sound;davosklosters;downloads/USER_davosklosters/VIDEO_7424512450856357153.mp4;2026-02-12 09:29:25;davos;VIDEO_7424512450856357153;USER_davosklosters
7416286728513735968;;vih_a.r;['vih_a.r'];0.56;Davos Klosters;❤️‍🩹 Wem geht‘s auch so? #davosklosters #problemstrend #sunrise #swissmountains #graubünden #jöriseen ;7;1080x1920;2024;som original;davosklosters;downloads/USER_davosklosters/VIDEO_7416286728513735968.mp4;2026-02-12 09:29:25;davos;VIDEO_7416286728513735968;USER_davosklosters
7374727208394411297;;Bigteddy_73;['Bigteddy_73'];0.56;Davos Klosters;Sommer, wo bleibst du?🥲☔️ #davosklosters #sportsunlimited #weareback #trends #mountainlife #swisstok #switzerland #mountains #summer #davos #graubünden ;8;720x1280;2024;original sound;davosklosters;downloads/USER_davosklosters/VIDEO_7374727208394411297.mp4;2026-02-12 09:29:25;davos;VIDEO_7374727208394411297;USER_davosklosters
7361057454454508833;;Davos Klosters;['Davos Klosters'];0.56;Davos Klosters;Frühling wo bleibst du? 🥴❄️ #DavosKlosters #SportsUnlimited #Winter #Spring #brothereww ;10;1080x1920;2024;Originalton;davosklosters;downloads/USER_davosklosters/VIDEO_7361057454454508833.mp4;2026-02-12 09:29:25;davos;VIDEO_7361057454454508833;USER_davosklosters
