id,aspect_ratio,video_duration,release_year,text_len,nb_hashtags,nb_emojis,nb_mentions,hashtag_density,emoji_density,feat_meteo,feat_cta,feat_action,lang_lang_detected_de,lang_lang_detected_en,lang_lang_detected_es,lang_lang_detected_fr,lang_lang_detected_it,lang_lang_detected_unknown
7602656035161050390,0.56,13,2026,64,5,1,0,0.07692307692307693,0.015384615384615385,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7590718903144287510,0.56,12,2026,68,5,1,0,0.07246376811594203,0.014492753623188406,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7571821778746592534,0.56,13,2025,61,5,2,0,0.08064516129032258,0.03225806451612903,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7569927329154190614,0.56,7,2025,67,4,2,0,0.058823529411764705,0.029411764705882353,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7566270741134462230,0.56,8,2025,66,5,1,0,0.07462686567164178,0.014925373134328358,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7536170254989315350,0.56,12,2025,78,6,3,0,0.0759493670886076,0.0379746835443038,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7520640970199698710,0.56,10,2025,86,6,2,0,0.06896551724137931,0.022988505747126436,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7496799936558796054,0.56,14,2025,75,5,1,0,0.06578947368421052,0.013157894736842105,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7487960173529582870,0.56,8,2025,120,5,3,0,0.04132231404958678,0.024793388429752067,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7478712216724802838,0.56,14,2025,92,7,2,0,0.07526881720430108,0.021505376344086023,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7470850262840691990,0.56,8,2025,111,8,2,0,0.07142857142857142,0.017857142857142856,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0
7424512450856357153,0.56,8,2024,82,7,2,0,0.08433734939759036,0.024096385542168676,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7416286728513735968,0.56,7,2024,102,6,1,0,0.05825242718446602,0.009708737864077669,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
7374727208394411297,0.56,8,2024,152,11,2,0,0.0718954248366013,0.013071895424836602,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7361057454454508833,0.56,10,2024,88,5,2,0,0.056179775280898875,0.02247191011235955,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7343975400122354977,0.56,9,2024,190,14,2,0,0.07329842931937172,0.010471204188481676,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7322847358646078752,0.56,11,2024,268,13,2,2,0.048327137546468404,0.007434944237918215,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7311689753676533024,0.56,8,2023,204,17,2,0,0.08292682926829269,0.00975609756097561,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7307595143559859488,0.56,10,2023,221,15,3,1,0.06756756756756757,0.013513513513513514,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7298756408994991393,0.56,9,2023,199,14,2,0,0.07,0.01,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0
7272755309658098976,0.56,14,2023,201,12,5,0,0.0594059405940594,0.024752475247524754,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0
7226766521719213338,0.56,7,2023,198,13,2,0,0.06532663316582915,0.010050251256281407,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7224139299594194203,0.56,13,2023,173,8,3,0,0.04597701149425287,0.017241379310344827,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0
7208566584535764250,0.56,11,2023,172,13,3,0,0.07514450867052024,0.017341040462427744,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7205976379370851589,0.56,9,2023,228,15,4,0,0.06550218340611354,0.017467248908296942,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0
7177404002508803334,0.56,8,2022,153,12,1,0,0.07792207792207792,0.006493506493506494,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7164792237543394566,0.56,6,2022,88,3,2,0,0.033707865168539325,0.02247191011235955,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7162183685423385862,0.56,14,2022,119,8,1,0,0.06666666666666667,0.008333333333333333,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7153997940774882565,0.56,13,2022,122,8,2,0,0.06504065040650407,0.016260162601626018,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7143619564775968006,0.56,7,2022,92,6,2,0,0.06451612903225806,0.021505376344086023,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7138043316087606533,0.56,14,2022,130,7,2,0,0.05343511450381679,0.015267175572519083,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7114705253899029765,0.56,12,2022,179,10,1,0,0.05555555555555555,0.005555555555555556,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7107270367303044358,0.56,12,2022,84,6,2,0,0.07058823529411765,0.023529411764705882,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7101685930276293894,0.56,7,2022,128,3,3,0,0.023255813953488372,0.023255813953488372,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7096121724990655749,0.56,10,2022,119,7,2,0,0.058333333333333334,0.016666666666666666,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7079814734664436998,0.56,14,2022,149,5,1,0,0.03333333333333333,0.006666666666666667,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7071272731286834437,0.56,7,2022,104,6,1,0,0.05714285714285714,0.009523809523809525,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7067569943449046278,0.56,9,2022,89,5,1,0,0.05555555555555555,0.011111111111111112,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7063121025394855173,0.56,9,2022,110,7,2,0,0.06306306306306306,0.018018018018018018,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0
7023313220278553862,0.56,13,2021,93,5,2,0,0.05319148936170213,0.02127659574468085,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
7019559155425955077,0.56,13,2021,120,6,2,0,0.049586776859504134,0.01652892561983471,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
6958797242429934854,0.56,11,2021,88,5,1,0,0.056179775280898875,0.011235955056179775,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6940653001791130885,0.56,11,2021,99,8,1,0,0.08,0.01,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6927911225066130693,0.56,8,2021,145,9,1,0,0.06164383561643835,0.00684931506849315,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6896446483080482050,0.56,8,2020,148,6,2,0,0.040268456375838924,0.013422818791946308,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6893888228848389377,0.56,8,2020,134,6,2,0,0.044444444444444446,0.014814814814814815,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6891645296233794817,0.56,9,2020,106,6,1,0,0.056074766355140186,0.009345794392523364,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6883561429727726850,0.56,8,2020,129,6,1,0,0.046153846153846156,0.007692307692307693,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6876362124260691202,0.56,12,2020,77,5,1,0,0.0641025641025641,0.01282051282051282,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6874890977631390978,0.56,14,2020,139,5,2,0,0.03571428571428571,0.014285714285714285,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6855731886438763781,0.56,12,2020,121,6,1,0,0.04918032786885246,0.00819672131147541,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6852640471013920006,0.56,9,2020,108,6,1,0,0.05504587155963303,0.009174311926605505,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6847902541095668997,0.56,13,2020,121,7,2,0,0.05737704918032787,0.01639344262295082,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
6802558843114114310,0.56,10,2020,149,3,1,0,0.02,0.006666666666666667,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7603743614157458710,0.57,7,2026,12,0,1,0,0.0,0.07692307692307693,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7595972634450431254,0.56,9,2026,46,0,2,0,0.0,0.0425531914893617,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7587402623129636118,0.57,11,2025,309,4,4,3,0.012903225806451613,0.012903225806451613,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7587440240327937302,0.57,13,2025,297,4,3,3,0.013422818791946308,0.010067114093959731,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0
7584845578429828375,0.57,13,2025,519,4,6,4,0.007692307692307693,0.011538461538461539,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0
7581822570454879510,0.56,10,2025,204,4,1,2,0.01951219512195122,0.004878048780487805,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7579299127637363990,0.56,8,2025,109,4,1,2,0.03636363636363636,0.00909090909090909,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7580305629634399510,0.56,7,2025,100,2,2,2,0.019801980198019802,0.019801980198019802,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7578925701114481942,0.57,8,2025,477,4,3,2,0.008368200836820083,0.006276150627615063,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0
7577797962017918230,0.57,9,2025,207,4,3,3,0.019230769230769232,0.014423076923076924,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7576309328584592643,0.57,6,2025,107,4,3,2,0.037037037037037035,0.027777777777777776,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7575167976853228822,0.56,8,2025,122,4,4,2,0.032520325203252036,0.032520325203252036,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7574884067729050902,0.56,8,2025,158,4,2,2,0.025157232704402517,0.012578616352201259,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7572598154063990038,0.57,9,2025,118,4,3,2,0.03361344537815126,0.025210084033613446,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7567386738709073174,0.56,7,2025,127,4,2,2,0.03125,0.015625,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7566939859156290838,0.56,9,2025,229,4,2,2,0.017391304347826087,0.008695652173913044,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0
7565890573115165974,0.56,14,2025,143,4,4,2,0.027777777777777776,0.027777777777777776,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7563265888623840534,0.56,7,2025,166,4,2,3,0.023952095808383235,0.011976047904191617,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7556999098637880598,0.56,12,2025,316,4,3,3,0.012618296529968454,0.00946372239747634,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7551795663772798211,0.56,6,2025,164,4,3,2,0.024242424242424242,0.01818181818181818,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7549089036447649046,0.56,8,2025,149,4,2,3,0.02666666666666667,0.013333333333333334,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7547744113433627926,0.56,9,2025,160,4,0,2,0.024844720496894408,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7542538735116684566,0.56,13,2025,114,4,2,2,0.034782608695652174,0.017391304347826087,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
7541326779697564930,0.56,11,2025,386,4,6,3,0.0103359173126615,0.015503875968992248,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
7539973950877584662,0.56,7,2025,225,6,3,2,0.02654867256637168,0.01327433628318584,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
7535846854743821590,0.56,14,2025,181,4,2,3,0.02197802197802198,0.01098901098901099,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7535846685101149462,0.56,11,2025,454,4,3,2,0.008791208791208791,0.006593406593406593,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0
7535846060476976406,0.56,12,2025,174,4,1,2,0.022857142857142857,0.005714285714285714,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7535476048444558614,0.56,8,2025,459,4,8,3,0.008695652173913044,0.017391304347826087,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0
7535123405562006806,0.56,6,2025,422,4,3,4,0.009456264775413711,0.0070921985815602835,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0
7533124404062981398,0.56,8,2025,175,4,2,2,0.022727272727272728,0.011363636363636364,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7532382235463339286,0.56,14,2025,192,4,1,3,0.02072538860103627,0.0051813471502590676,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7528433357093358870,0.56,11,2025,762,4,5,2,0.005242463958060288,0.00655307994757536,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0
7510479503592901910,0.56,14,2025,142,4,1,2,0.027972027972027972,0.006993006993006993,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
7509512878026788118,0.56,11,2025,543,4,8,3,0.007352941176470588,0.014705882352941176,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0
7504668782045039894,0.56,6,2025,286,4,3,2,0.013937282229965157,0.010452961672473868,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0
7495322095065238806,0.56,7,2025,377,4,2,4,0.010582010582010581,0.005291005291005291,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
7494238893546474774,0.56,12,2025,124,4,1,2,0.032,0.008,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
7490222588883422486,0.56,8,2025,182,4,1,3,0.02185792349726776,0.00546448087431694,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
7488220279244623126,0.56,6,2025,290,4,3,0,0.013745704467353952,0.010309278350515464,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
